"filename", "language", "Markdown", "comment", "blank", "total"
"/Users/shgopher/Desktop/family/GOFamily/工程/包及其构建工具/README.md", "Markdown", 92, 0, 45, 137
"Total", "-", 92, 0, 45, 137
